summaryeffectID,metaname,intsp,intname,intmet,BACI,BA,CI,Total,summeff_conv,var_conv,loCI_conv,upCI_conv,summeff_wei,var_wei,loCI_wei,upCI_wei
B52,Bernes et al. 2018,Native,Graminoids,abundance,25,11,0,36,0.273064247,0.053309567,-0.179477499,0.725605994,0.231695571,0.061304186,-0.2535942,0.716985342
B53,Bernes et al. 2018,Introduced,,abundance,1,0,2,3,-0.601614445,0.077491918,-1.147226902,-0.056001988,-0.476052139,0.101408742,-1.10020903,0.148104752
B54,Bernes et al. 2018,Domestic,,abundance,7,6,0,13,-1.360109768,0.218355317,-2.275988463,-0.444231072,-1.20205499,0.257847226,-2.197316717,-0.206793263
B55,Bernes et al. 2018,Native,Forbs,abundance,16,10,0,26,-0.238581263,0.010929766,-0.443490483,-0.033672043,-0.066045757,0.024800688,-0.374711146,0.242619632
B56,Bernes et al. 2018,Introduced,,abundance,0,0,2,2,-0.269710983,0.011472165,-0.479643044,-0.059778922,-0.132231751,0.038282615,-0.515724245,0.251260744
B57,Bernes et al. 2018,Domestic,,abundance,6,6,0,12,-0.218758246,0.020978386,-0.502643025,0.065126533,0.041680877,0.04575641,-0.377577782,0.460939536
B58,Bernes et al. 2018,Browsers,,abundance,21,2,0,23,-0.150575482,0.015022923,-0.390808832,0.089657868,-0.011574812,0.029347016,-0.347341837,0.324192214
B59,Bernes et al. 2018,Intermediate,,abundance,10,8,0,18,-0.270350152,0.009140402,-0.457736834,-0.082963469,-0.151397716,0.030887202,-0.495862918,0.193067485
B60,Bernes et al. 2018,Grazers,,abundance,14,6,1,21,-0.208513874,0.012950053,-0.431558539,0.014530791,0.03277841,0.041461842,-0.36632034,0.43187716
B61,Bernes et al. 2018,Mixed,,abundance,1,2,0,3,-0.558045174,0.199277891,-1.432999999,0.316909651,-0.537633021,0.204169421,-1.423261187,0.347995144
B62,Bernes et al. 2018,Sustained/abandoned/resumed livestock grazing,,abundance,8,0,1,9,0.107388533,0.035423524,-0.261505772,0.476282837,0.160880618,0.042687166,-0.244072488,0.565833724
B63,Bernes et al. 2018,Fencing (all),,abundance,38,18,0,56,-0.595169201,0.054078542,-1.050963152,-0.13937525,-0.935732425,0.071584725,-1.460136736,-0.411328114
B64,Bernes et al. 2018,Poor-soil forest,,abundance,1,1,0,2,0.010999167,0.045382189,-0.406541511,0.428539845,0.251416152,0.056364801,-0.213912783,0.716745087
B65,Bernes et al. 2018,Richer-soil conifers,,abundance,5,14,0,19,-1.889554711,0.282008891,-2.930403094,-0.848706328,-0.84481302,0.643329604,-2.416886494,0.727260453
B66,Bernes et al. 2018,Boreal broadleaf/mixed,,abundance,6,1,0,7,-0.307341024,0.170414996,-1.116455507,0.50177346,-0.169574237,0.208261643,-1.06403381,0.724885336
B67,Bernes et al. 2018,Temperate broadleaf/mixed,,abundance,24,0,0,24,-0.431769096,0.020107484,-0.709698782,-0.15383941,-0.574665634,0.075791475,-1.114258565,-0.035072703
B68,Bernes et al. 2018,Regenerating,,abundance,4,2,0,6,-0.911195324,0.246132699,-1.883585872,0.061195224,-0.931674722,0.247959043,-1.907666249,0.044316805
B69,Bernes et al. 2018,Open woodland,,abundance,6,0,1,7,-0.41953967,0.60077262,-1.938726326,1.099646987,-0.122399162,0.752560659,-1.822704142,1.577905818
B70,Bernes et al. 2018,Low,"Palatability, best estimate",abundance,14,14,0,28,-0.599979258,0.053888885,-1.054973261,-0.144985256,-0.508258693,0.174851542,-1.327837661,0.311320275
B71,Bernes et al. 2018,Medium,,abundance,64,17,3,84,-0.891236171,0.080826061,-1.448462693,-0.33400965,-0.96334419,0.163186732,-1.755113189,-0.17157519
B72,Bernes et al. 2018,High,,abundance,25,7,1,33,-0.311914922,0.083776287,-0.87921994,0.255390097,-0.345444687,0.118468253,-1.020061349,0.329171975
B73,Bernes et al. 2018,Low,"Palatability, highest estimate found",abundance,9,14,0,23,0.069324312,0.079031881,-0.481682832,0.620331457,0.061882882,0.218671732,-0.854659166,0.97842493
B74,Bernes et al. 2018,Medium,,abundance,57,17,3,77,-0.442343086,0.092285379,-1.037761856,0.153075683,-0.490606748,0.117967451,-1.163795992,0.182582496
B75,Bernes et al. 2018,High,,abundance,37,7,1,45,-0.094529403,0.007943387,-0.269215733,0.080156928,-0.113984027,0.030034524,-0.453661267,0.225693214
B76,Bernes et al. 2018,Lepidopterans,,abundance,15,0,0,15,-0.435945108,0.026634252,-0.755817179,-0.116073037,-0.764323511,0.105199067,-1.400037861,-0.12860916
B77,Bernes et al. 2018,Spiders,,abundance,18,0,0,18,0.172107186,0.082103103,-0.389504138,0.733718509,0.159404674,0.123321427,-0.528891479,0.847700826
B78,Bernes et al. 2018,Carabids,,abundance,9,0,0,9,0.341369369,0.032138151,-0.010002119,0.692740857,0.157257495,0.065029211,-0.342558688,0.657073678
B79,Bernes et al. 2018,Native,Understorey (all),richness,13,6,0,19,-0.529971968,0.211657775,-1.431695046,0.37175111,-0.455272526,0.390585945,-1.680211286,0.769666233
B80,Bernes et al. 2018,Introduced,,richness,2,0,2,4,-0.381342905,0.016307715,-0.631638169,-0.131047642,-0.52172047,0.080186997,-1.07673972,0.033298781
B81,Bernes et al. 2018,Domestic,,richness,15,6,2,23,-0.828751228,0.048802904,-1.261742264,-0.395760193,-0.664544765,0.10113054,-1.287844918,-0.041244611
B82,Bernes et al. 2018,Native,Woody understorey,richness,13,6,0,19,-0.410249965,0.013482682,-0.63783527,-0.182664659,-0.616324576,0.038256561,-0.999686553,-0.232962599
B83,Bernes et al. 2018,Introduced,,richness,1,0,1,2,-0.622789726,0.349745913,-1.781920392,0.536340939,-0.230163754,0.500164983,-1.616321681,1.155994173
B84,Bernes et al. 2018,Domestic,,richness,2,6,0,8,-0.599979258,0.053888885,-1.054973261,-0.144985256,-0.508258693,0.174851542,-1.327837661,0.311320275
B85,Bernes et al. 2018,Domestic,Graminoids,richness,2,6,0,8,-1.879107932,0.514093356,-3.284433886,-0.473781979,-2.130468362,0.542617721,-3.574255131,-0.686681592
B86,Bernes et al. 2018,Native,Forbs,richness,5,6,0,11,-0.317784778,0.038343723,-0.701583221,0.066013665,-0.621240022,0.084992165,-1.19264697,-0.049833074
B87,Bernes et al. 2018,Domestic,,richness,2,6,0,8,-0.482993593,0.04825367,-0.913541266,-0.052445919,-0.297811786,0.064333151,-0.794945804,0.199322233
